Reference;Publication Year;Task;Case study;Case study type;Input for the model;Number of input variables;Input type;Data Pre-processing;Model Approach;Model Type;Models;Online/Off-line;Number of failure modes;Performance indicator;Performance;Complementary notes;Study title;Publication identifier
11;2016;Multiple steps future state forecast;Proton exchange membrane fuel cell;Energy cells and batteries;Time series;1;Voltage;No;Single model;Data-driven;Relevance vector machine;Off-line;1;Mean absolute percentage error, Root mean square error;(<0.016), (<0.8);4 operational modes for one batery type, 1 operational mode for another, 400h of degradation data for 5 battery degradation testing, no info about computational power;Nonlinear Performance Degradation Prediction of Proton Exchange Membrane Fuel Cells Using Relevance Vector Machine;doi.org/10.1109/TEC.2016.2582531
12;2018;Health modelling;Simulated jet-engines data;Rotary machines;Time series;7;Temperature, Fluid Pressure, Spinning speed, Baypass ratio;Yes;Single model;Data-driven;Self-Organizing Maps;Off-line;1;Mean accuracy;(>93%);6 operational modes, 218 training sets, 218 testing sets, data preprocessing include normalization and variables selection, no special info about computational power;Enhancing operational fault diagnosis using multiple operational modes;hal-02200480
13;2016;Fault identification;Proton exchange membrane fuel cell;Energy cells and batteries;Structured text-based;5;Mechanical stresses, Temperature, Voltage, Impurities;No;Single model;Knowledge-based;Root cause analysis;Off-line;4;N/A;N/A;4 operational modes for one batery type, 1 operational mode for another, 400h of degradation data for 5 battery degradation testing, no info about computational power;Nonlinear Performance Degradation Prediction of Proton Exchange Membrane Fuel Cells Using Relevance Vector Machine;doi.org/10.1109/TEC.2016.2582531
14;2017;Remaining useful life estimation;Lithium-ion battery;Energy cells and batteries;Time series;1;Battery capacity;No;Single model;Data-driven;Relevance vector machine;Off-line;1;Error range, Accuracy, Steady indicator;([1, 20]), ([60%, 94.44%]), ([0.0045, 0.0419]);1 operational mode, 4 batery types, No explicit info about training data, 35 testing parameters, no info about computational power;A new hybird method for the prediction of the remaining useful life o a lithium-ion battery;doi.org/10.1016/j.apenergy.2017.09.106
15;2017;Remaining useful life estimation;Lithium-ion battery;Energy cells and batteries;Time series;1;Battery capacity;No;Single model;Physics-based;Kalman Filter;Off-line;1;Error range, Accuracy, Steady indicator;([1, 42]), ([33.33%, 91.07%]), ([0.0073, 0.0257]);1 operational mode, 4 batery types, No explicit info about training data, 35 testing parameters, no info about computational power;A new hybird method for the prediction of the remaining useful life o a lithium-ion battery;doi.org/10.1016/j.apenergy.2017.09.106
16;2017;Remaining useful life estimation;Lithium-ion battery;Energy cells and batteries;Time series;1;Battery capacity;No;Multi model;Data-driven, Physics-based;Relevance vector machine, Kalman Filter;Off-line;1;Error range, Accuracy, Steady indicator;([1, 6]), ([84.85%, 97.72%]), (0.0036, 0.0157]);1 operational mode, 4 batery types, No explicit info about training data, 35 testing parameters, no info about computational power;A new hybird method for the prediction of the remaining useful life o a lithium-ion battery;doi.org/10.1016/j.apenergy.2017.09.106
17;2015;Fault feature extraction;Circuit breakers;Electrical components;Signals;1;Acustic signal;No;Single model;Data-driven;Fast-furrier transform;Online;5;N/A;N/A;No info about operational modes, two case studies, no explicit info about training or testing samples, computational power for Matlab 2013b.;An expert system for acoustic diagnosis of power circuit breakers and on-load tap changers;doi.org/10.1016/j.eswa.2015.07.079
18;2015;Fault feature extraction;On-load tap changers;Electrical components;Signals;1;Acustic signal;No;Single model;Data-driven;Fast-furrier transform;Online;5;N/A;N/A;No info about operational modes, two case studies, no explicit info about training or testing samples, computational power for Matlab 2013b.;An expert system for acoustic diagnosis of power circuit breakers and on-load tap changers;doi.org/10.1016/j.eswa.2015.07.079
19;2015;Fault detection;Circuit breakers;Electrical components;Time series;2;Acustic features, Current;Yes;Single model;Knowledge-based;Rule-based system;Off-line;5;N/A;N/A;No info about operational modes, two case studies, no explicit info about training or testing samples, computational power for Matlab 2013b.;An expert system for acoustic diagnosis of power circuit breakers and on-load tap changers;doi.org/10.1016/j.eswa.2015.07.079
20;2015;Fault detection;On-load tap changers;Electrical components;Time series;2;Acustic features, Current;Yes;Single model;Knowledge-based;Rule-based system;Off-line;5;N/A;N/A;No info about operational modes, two case studies, no explicit info about training or testing samples, computational power for Matlab 2013b.;An expert system for acoustic diagnosis of power circuit breakers and on-load tap changers;doi.org/10.1016/j.eswa.2015.07.079
21;2017;Remaining useful life estimation;Oil condition;Lubricants;Time series;16;Operating time in days, Operating time in motor-hours, Viscosity, ignition point, Total Base Number, Anti-oxidation particles percentage, Anti-wear Particles percentage, Elements ppm, Sulphating products percentage, Soot percentage;Yes;Multi model;Data-driven;Multi-layer perceptron neural network, Radial basis function network;Off-line;1;Accuracy;N/A;Data acquired within years. Data may be fuzzy. 30 vehicles used, NN Training: back propagation. Using Mh ;The determination of combustion engine condition and reliability using oil analysis byMLP and RBF neural networks;doi.org/10.1016/j.triboint.2017.06.032
22;2017;Remaining useful life estimation;Oil condition;Lubricants;Time series;16;Operating time in days, Operating time in motor-hours, Viscosity, ignition point, Total Base Number, Anti-oxidation particles percentage, Anti-wear Particles percentage, Elements ppm, Sulphating products percentage, Soot percentage;Yes;Single model;Data-driven;Multi-layer perceptron neural network;Off-line;1;Accuracy;[98%-99%];Operating time in Mh;The determination of combustion engine condition and reliability using oil analysis byMLP and RBF neural networks;doi.org/10.1016/j.triboint.2017.06.032
23;2017;Remaining useful life estimation;Oil condition;Lubricants;Time series;16;Operating time in days, Operating time in motor-hours, Viscosity, ignition point, Total Base Number, Anti-oxidation particles percentage, Anti-wear Particles percentage, Elements ppm, Sulphating products percentage, Soot percentage;Yes;Single model;Data-driven;Radial basis function network;Off-line;1;Accuracy;[88%-90%];Operating time in days;The determination of combustion engine condition and reliability using oil analysis byMLP and RBF neural networks;doi.org/10.1016/j.triboint.2017.06.032
24;2017;Remaining useful life estimation;Oil condition;Lubricants;Time series;16;Operating time in days, Operating time in motor-hours, Viscosity, ignition point, Total Base Number, Anti-oxidation particles percentage, Anti-wear Particles percentage, Elements ppm, Sulphating products percentage, Soot percentage;Yes;Single model;Data-driven;Multi-layer perceptron neural network;Off-line;1;Accuracy;[89%-90%];Operating time in days;The determination of combustion engine condition and reliability using oil analysis byMLP and RBF neural networks;doi.org/10.1016/j.triboint.2017.06.032
25;2017;Remaining useful life estimation;Oil condition;Lubricants;Time series;16;Operating time in days, Operating time in motor-hours, Viscosity, ignition point, Total Base Number, Anti-oxidation particles percentage, Anti-wear Particles percentage, Elements ppm, Sulphating products percentage, Soot percentage;Yes;Single model;Data-driven;Multi-layer perceptron neural network;Off-line;1;Accuracy;[93%-94%];Operating time in Mh and days;The determination of combustion engine condition and reliability using oil analysis byMLP and RBF neural networks;doi.org/10.1016/j.triboint.2017.06.032
26;2017;Remaining useful life estimation;Oil condition;Lubricants;Time series;16;Operating time in days, Operating time in motor-hours, Viscosity, ignition point, Total Base Number, Anti-oxidation particles percentage, Anti-wear Particles percentage, Elements ppm, Sulphating products percentage, Soot percentage;Yes;Single model;Data-driven;Radial basis function network;Off-line;1;Accuracy;[94%-95%];Operating time in Mh and days;The determination of combustion engine condition and reliability using oil analysis byMLP and RBF neural networks;doi.org/10.1016/j.triboint.2017.06.032
27;2019;Fault feature extraction;Dehumidifier;Rotary machines;Signals;5;Temperature, Acustic, Spinning speed, Humidity, Current;Yes;Single model;Data-driven;LSTM (Long-Short Term Memory Neural Network);Off-line;1;Root mean square error;7,473;ARM BCM2835 processor running with 700 MHz 512 MB RAM;Predictive Maintenance with Sensor Data Analyticson a Raspberry Pi-Based Experimental Platform;doi:10.3390/s19183884
28;2017;Remaining useful life estimation;Rolling bearings;Rotary machines;Signals;5;Vibrations;Yes;Single model;Data-driven;Support vector machines;Online;1;Error percentage;0,1263;Model used is a combination of genetic algorithm and multi-parameter support vector machine;The Remaining Life Prediction of the Fan Bearing Based on Genetic Algorithm and Multi-parameter Support Vector Machine ;doi.org/ 10.1109/CMAME.2017.8540112
29;2018;Fault detection;Rolling bearings;Rotary machines;Signals;1;Vibrations;Yes;Single model;Data-driven;Self-Organizing Maps;Off-line;1;Accuracy;N/A;The data was generated by the NSF I/UCR Center;Self-Organizing Maps for Anomaly Localization and PredictiveMaintenance in Cyber-Physical Production Systems;doi.org/10.1016/j.procir.2018.03.150
30;2018;Remaining useful life estimation;Rolling bearings;Rotary machines;Signals;1;Vibrations;Yes;Single model;Data-driven;LSTM (Long-Short Term Memory Neural Network);Off-line;;Error percentage;0,3828;For the training process, they used 3 bearings under different operating conditions. 2 accelerometers were horizontally and vertically mounted. ;Rolling element bearing remaining useful life estimation based on a convolutional long-short-tern memory network;doi.org/10.1016/j.procs.2018.01.106
31;2017;Health assessment;Rolling bearings;Rotary machines;Signals;1;Vibrations;Yes;Multi model;Data-driven;Self-Organizing Maps, Distance metric learning;Off-line;3;Correlation coefficient, Root mean square error;(0.68), (0.86);The data was provided by PRONOSTIA platform;A Distance Metric Learning Based Health Indicator for Health Prognostics of Bearings;doi.org/10.1109/SDPC.2017.19
32;2016;Fault feature extraction;Rolling bearings;Rotary machines;Signals;1;Vibrations;Yes;Multi model;Data-driven;Wevelet tranform, Genetic algorithm;Off-line;7;Root mean square error, Absolute error, Mean absolute error percentage;[(0.0738), (0.0719), (15.92)];no info extra;Dynamic Genetic Algorithm-Based Feature Selection Scheme for Machine Health Prognostics;doi.org/10.1016/j.procir.2016.10.026
33;2017;Fault detection;Rolling bearings;Rotary machines;Signals;1;Vibrations;Yes;Single model;Data-driven;Local Feature-Based Gated Recurrent Units network;Off-line;3;Accuracy;0,9989;Local features extracted from raw sensor inputs, vibration signal length fixed to 20 000;Machine Health Monitoring Using Local Feature-Based Gated Recurrent Unit Networks;doi.org/10.1109/TIE.2017.2733438
34;2016;Fault detection;Rolling bearings;Rotary machines;Signals;1;Vibrations;Yes;Multi model;Data-driven;Sparse filter, Sofmax regression;Off-line;3;Accuracy;0,9966;The proposed method is able to classify health conditions with high accuracies using various input dimension of sparse filtering;An Intelligent Fault Diagnosis Method Using Unsupervised Feature Learning Towards Mechanical Big Data;doi.org/10.1109/TIE.2016.2519325
35;2018;Remaining useful life estimation;Rolling bearings;Rotary machines;Time series;1;Vibrations;Yes;Single model;Data-driven;Convolutional Neural Network;Off-line;1;Root mean square error;0,119;no info extra;Prediction of bearing remaining useful life with deep convution neural ;DOI: 10.1109/ACCESS.2018.2804930
36;2018;Remaining useful life estimation;Rolling bearings;Rotary machines;Time series;1;Vibrations;Yes;Single model;Data-driven;Support vector machines;Off-line;1;Root mean square error;0,334;no info extra;Prediction of bearing remaining useful life with deep convution neural ;DOI: 10.1109/ACCESS.2018.2804930
37;2018;Remaining useful life estimation;Rolling bearings;Rotary machines;Time series;1;Vibrations;Yes;Single model;Data-driven;Deep learning network;Off-line;1;Root mean square error;0,296;no info extra;Prediction of bearing remaining useful life with deep convution neural ;DOI: 10.1109/ACCESS.2018.2804930
38;2017;Health assessment;Rolling bearings;Rotary machines;Signals;7;Vibrations;Yes;Multi model;Data-driven, Data-driven;TRIM (time-continuous relevant isometric mapping) , FFNN (feed-forward neural network);Off-line;2;Accuracy;0,9832;they use 30 datasets;Machine component heath prognostics with only truncated histories using geometrical metric approach;.doi.org/10.1016/j.ymssp.2017.01.052
39;2017;Fault detection;Rolling bearings;Rotary machines;Signals;1;Vibrations;Yes;Single model;Data-driven;Auto-encoder with deep transfer learning;Off-line;1;Accuracy;0,9982;Data contains normal condition and 3 fault types with fault sizes, 0.18, 0.36 and 0.54 mm;A New Deep Transfer Learning Based on Sparse Auto-Encoder for Fault Diagnosis;doi.org/10.1109/TSMC.2017.2754287
40;2017;Fault detection;Rolling bearings;Rotary machines;Signals;1;Vibrations;Yes;Single model;Data-driven;Deep belief network;Off-line;1;Accuracy;0,8745;Data contains normal condition and 3 fault types with fault sizes, 0.18, 0.36 and 0.54 mm;A New Deep Transfer Learning Based on Sparse Auto-Encoder for Fault Diagnosis;doi.org/10.1109/TSMC.2017.2754287
41;2017;Fault detection;Rolling bearings;Rotary machines;Signals;1;Vibrations;Yes;Single model;Data-driven;Support vector machines;Off-line;1;Accuracy;0,579;Data contains normal condition and 3 fault types with fault sizes, 0.18, 0.36 and 0.54 mm;A New Deep Transfer Learning Based on Sparse Auto-Encoder for Fault Diagnosis;doi.org/10.1109/TSMC.2017.2754287
42;2017;Fault detection;Rolling bearings;Rotary machines;Signals;1;Vibrations;Yes;Single model;Data-driven;Multi-layer perceptron neural network;Off-line;1;Accuracy;0,677;Data contains normal condition and 3 fault types with fault sizes, 0.18, 0.36 and 0.54 mm;A New Deep Transfer Learning Based on Sparse Auto-Encoder for Fault Diagnosis;doi.org/10.1109/TSMC.2017.2754287
43;2017;Fault detection;Rolling bearings;Rotary machines;Signals;1;Vibrations;Yes;Single model;Data-driven;Bayes model;Off-line;1;Accuracy;0,58;Data contains normal condition and 3 fault types with fault sizes, 0.18, 0.36 and 0.54 mm;A New Deep Transfer Learning Based on Sparse Auto-Encoder for Fault Diagnosis;doi.org/10.1109/TSMC.2017.2754287
44;2017;Fault detection;Rolling bearings;Rotary machines;Signals;1;Vibrations;Yes;Single model;Data-driven;Bagging model;Off-line;1;Accuracy;0,4465;Data contains normal condition and 3 fault types with fault sizes, 0.18, 0.36 and 0.54 mm;A New Deep Transfer Learning Based on Sparse Auto-Encoder for Fault Diagnosis;doi.org/10.1109/TSMC.2017.2754287
45;2017;Fault detection;Rolling bearings;Rotary machines;Signals;1;Vibrations;Yes;Single model;Data-driven;Boosting model;Off-line;1;Accuracy;0,569;Data contains normal condition and 3 fault types with fault sizes, 0.18, 0.36 and 0.54 mm;A New Deep Transfer Learning Based on Sparse Auto-Encoder for Fault Diagnosis;doi.org/10.1109/TSMC.2017.2754287
46;2017;Fault detection;Rolling bearings;Rotary machines;Signals;1;Vibrations;Yes;Single model;Data-driven;Sparse filter;Off-line;1;Accuracy;0,9966;Data contains normal condition and 3 fault types with fault sizes, 0.18, 0.36 and 0.54 mm;A New Deep Transfer Learning Based on Sparse Auto-Encoder for Fault Diagnosis;doi.org/10.1109/TSMC.2017.2754287
47;2017;Fault detection;Rolling bearings;Rotary machines;Signals;1;Vibrations;Yes;Single model;Data-driven;Deep belief network based hierarchical diagnosis network;Off-line;1;Accuracy;0,9906;Data contains normal condition and 3 fault types with fault sizes, 0.18, 0.36 and 0.54 mm;A New Deep Transfer Learning Based on Sparse Auto-Encoder for Fault Diagnosis;doi.org/10.1109/TSMC.2017.2754287
48;2019;Fault identification;Simulated jet-engines data;Rotary machines;Time series;14;Temperature, Fluid Pressure, Spinning speed, Baypass ratio, Coolant bleed;Yes;Multi model;Data-driven;Deep belief network, Principal component analysis;Off-line;2;Accuracy;0,9517;6 CMPASS databases, 1 or 6 operational modes depending on the database, 100 to 218 training sets depending on the database, 100 to 218 test sets depending on the database, data preprocessing include normalization, variables selection and linear cumulative averaging algorithm, no computational power info provided;Combining multiple deep learning algorithms for prognostic and health management of aircraft;doi.org/10.1016/j.ast.2019.105423
49;2019;Fault identification;Simulated jet-engines data;Rotary machines;Time series;14;Temperature, Fluid Pressure, Spinning speed, Baypass ratio, Coolant bleed;Yes;Single model;Data-driven;Support vector machines;Off-line;2;Accuracy;0,925;6 CMPASS databases, 1 or 6 operational modes depending on the database, 100 to 218 training sets depending on the database, 100 to 218 test sets depending on the database, data preprocessing include normalization, variables selection and linear cumulative averaging algorithm, no computational power info provided;Combining multiple deep learning algorithms for prognostic and health management of aircraft;doi.org/10.1016/j.ast.2019.105423
50;2019;Fault identification;Simulated jet-engines data;Rotary machines;Time series;14;Temperature, Fluid Pressure, Spinning speed, Baypass ratio, Coolant bleed;Yes;Single model;Data-driven;Multi-layer perceptron neural network;Off-line;2;Accuracy;0,9153;6 CMPASS databases, 1 or 6 operational modes depending on the database, 100 to 218 training sets depending on the database, 100 to 218 test sets depending on the database, data preprocessing include normalization, variables selection and linear cumulative averaging algorithm, no computational power info provided;Combining multiple deep learning algorithms for prognostic and health management of aircraft;doi.org/10.1016/j.ast.2019.105423
51;2019;Remaining useful life estimation;Simulated jet-engines data;Rotary machines;Time series;14;Temperature, Fluid Pressure, Spinning speed, Baypass ratio, Coolant bleed;Yes;Multi model;Data-driven;LSTM (Long-Short Term Memory Neural Network), Deep belief network;Off-line;2;Root mean square error;6,9±4,7;6 CMPASS databases, 1 or 6 operational modes depending on the database, 100 to 218 training sets depending on the database, 100 to 218 test sets depending on the database, data preprocessing include normalization, variables selection and linear cumulative averaging algorithm, no computational power info provided;Combining multiple deep learning algorithms for prognostic and health management of aircraft;doi.org/10.1016/j.ast.2019.105423
52;2019;Remaining useful life estimation;Simulated jet-engines data;Rotary machines;Time series;14;Temperature, Fluid Pressure, Spinning speed, Baypass ratio, Coolant bleed;Yes;Single model;Data-driven;LSTM (Long-Short Term Memory Neural Network);Off-line;2;Root mean square error;8,2±5,7;6 CMPASS databases, 1 or 6 operational modes depending on the database, 100 to 218 training sets depending on the database, 100 to 218 test sets depending on the database, data preprocessing include normalization, variables selection and linear cumulative averaging algorithm, no computational power info provided;Combining multiple deep learning algorithms for prognostic and health management of aircraft;doi.org/10.1016/j.ast.2019.105423
53;2019;Remaining useful life estimation;Simulated jet-engines data;Rotary machines;Time series;14;Temperature, Fluid Pressure, Spinning speed, Baypass ratio, Coolant bleed;Yes;Single model;Data-driven;Recurrent Neural Network;Off-line;2;Root mean square error;10,2±5,8;6 CMPASS databases, 1 or 6 operational modes depending on the database, 100 to 218 training sets depending on the database, 100 to 218 test sets depending on the database, data preprocessing include normalization, variables selection and linear cumulative averaging algorithm, no computational power info provided;Combining multiple deep learning algorithms for prognostic and health management of aircraft;doi.org/10.1016/j.ast.2019.105423
54;2019;Remaining useful life estimation;Simulated jet-engines data;Rotary machines;Time series;14;Temperature, Fluid Pressure, Spinning speed, Baypass ratio, Coolant bleed;Yes;Single model;Data-driven;Gated recurrent unit network;Off-line;2;Root mean square error;10,0±6,0;6 CMPASS databases, 1 or 6 operational modes depending on the database, 100 to 218 training sets depending on the database, 100 to 218 test sets depending on the database, data preprocessing include normalization, variables selection and linear cumulative averaging algorithm, no computational power info provided;Combining multiple deep learning algorithms for prognostic and health management of aircraft;doi.org/10.1016/j.ast.2019.105423
55;2017;Remaining useful life estimation;Simulated jet-engines data;Rotary machines;Time series;26;Temperature, Fluid Pressure, Spinning speed, Baypass ratio, Coolant bleed;No;Single model;Data-driven;LSTM (Long-Short Term Memory Neural Network);Off-line;1;Root mean square error;FROM GRAPHICS 1st place;6 operational modes, 218 training sets, 218 testing sets, no data processing described, Nvidia K40 GPU and 12GB of RAM memory solved this problem ;Life Prediction of Jet Engines Based on LSTM-Recurrent Neural Networks;doi.org/10.1109/PHM.2017.8079264
56;2017;Remaining useful life estimation;Simulated jet-engines data;Rotary machines;Time series;26;Temperature, Fluid Pressure, Spinning speed, Baypass ratio, Coolant bleed;No;Single model;Data-driven;Statistical regression model;Off-line;1;Root mean square error;FROM GRAPHICS 2st place;6 operational modes, 218 training sets, 218 testing sets, no data processing described, Nvidia K40 GPU and 12GB of RAM memory solved this problem ;Life Prediction of Jet Engines Based on LSTM-Recurrent Neural Networks;doi.org/10.1109/PHM.2017.8079264
57;2019;Health modelling;Aircraft bearings;Rotary machines;Time series;1;Health index, Crack length;Yes;Single model;Data-driven;Statistical regression model;Off-line;1;N/A;N/A;No info about operational modes;An ensemble learning-based prognostic approach with degradation-dependent weights for remaining useful life prediction;doi.org/10.1016/j.ress.2017.12.016
58;2019;Remaining useful life estimation;Aircraft bearings;Rotary machines;Time series;1;Health index, Crack length;Yes;Multi model;Data-driven;Ensemble learning-based prognostic model;Online;1;Score function (the smaller the better);7,8;No info about operational modes;An ensemble learning-based prognostic approach with degradation-dependent weights for remaining useful life prediction;doi.org/10.1016/j.ress.2017.12.016
59;2019;Remaining useful life estimation;Aircraft bearings;Rotary machines;Time series;1;Health index, Crack length;Yes;Multi model;Data-driven;Relevance vector machine, Similarity-based interpolation;Online;1;Score function (the smaller the better);19,66;No info about operational modes;An ensemble learning-based prognostic approach with degradation-dependent weights for remaining useful life prediction;doi.org/10.1016/j.ress.2017.12.016
60;2019;Remaining useful life estimation;Aircraft bearings;Rotary machines;Time series;1;Health index, Crack length;Yes;Single model;Physics-based;Particle filter;Online;1;Score function (the smaller the better);301,8;No info about operational modes;An ensemble learning-based prognostic approach with degradation-dependent weights for remaining useful life prediction;doi.org/10.1016/j.ress.2017.12.016
61;2019;Remaining useful life estimation;Simulated jet-engines data;Rotary machines;Time series;21;Temperature, Fluid Pressure, Spinning speed, Baypass ratio, Coolant bleed;No;Multi model;Data-driven;Ensemble learning-based prognostic model;Off-line;1;Score function (the smaller the better);5,75;No info about operational modes;An ensemble learning-based prognostic approach with degradation-dependent weights for remaining useful life prediction;doi.org/10.1016/j.ress.2017.12.016
62;2019;Remaining useful life estimation;Simulated jet-engines data;Rotary machines;Time series;21;Temperature, Fluid Pressure, Spinning speed, Baypass ratio, Coolant bleed;No;Multi model;Data-driven;Relevance vector machine, Similarity-based interpolation;Off-line;1;Score function (the smaller the better);11,86;No info about operational modes;An ensemble learning-based prognostic approach with degradation-dependent weights for remaining useful life prediction;doi.org/10.1016/j.ress.2017.12.016
63;2019;Remaining useful life estimation;Simulated jet-engines data;Rotary machines;Time series;21;Temperature, Fluid Pressure, Spinning speed, Baypass ratio, Coolant bleed;No;Single model;Data-driven;Recurrent Neural Network;Off-line;1;Score function (the smaller the better);55,18;No info about operational modes;An ensemble learning-based prognostic approach with degradation-dependent weights for remaining useful life prediction;doi.org/10.1016/j.ress.2017.12.016
64;2019;Remaining useful life estimation;Simulated jet-engines data;Rotary machines;Time series;21;Temperature, Fluid Pressure, Spinning speed, Baypass ratio, Coolant bleed;No;Multi model;Data-driven;Bayesian linear regression, Least square exponential fitting;Off-line;1;Score function (the smaller the better);189,37;No info about operational modes;An ensemble learning-based prognostic approach with degradation-dependent weights for remaining useful life prediction;doi.org/10.1016/j.ress.2017.12.016
65;2019;Remaining useful life estimation;Simulated jet-engines data;Rotary machines;Time series;21;Temperature, Fluid Pressure, Spinning speed, Baypass ratio, Coolant bleed;No;Multi model;Data-driven;Similarity-based interpolation, Support vector machines;Off-line;1;Score function (the smaller the better);10,41;No info about operational modes;An ensemble learning-based prognostic approach with degradation-dependent weights for remaining useful life prediction;doi.org/10.1016/j.ress.2017.12.016
66;2019;Remaining useful life estimation;Simulated jet-engines data;Rotary machines;Time series;21;Temperature, Fluid Pressure, Spinning speed, Baypass ratio, Coolant bleed;No;Multi model;Data-driven;Similarity-based interpolation, Least square exponential fitting;Off-line;1;Score function (the smaller the better);10,38;No info about operational modes;An ensemble learning-based prognostic approach with degradation-dependent weights for remaining useful life prediction;doi.org/10.1016/j.ress.2017.12.016
